NP_CTRL1_50%,NP_CTRL2_50%,NP_CM_1_1_50%,NP_CM_1_2_50%,NP_FM_1_1_50%,NP_FM_1_2_50%,NP_PM_1_1_50%,NP_PM_1_2_50%,NP_SM_1_1_50%,NP_SM_1_2_50%,NP_CM_3_1_50%,NP_CM_3_2_50%,NP_FM_3_2_50%,NP_PM_3_1_50%,NP_PM_3_2_50%,NP_SM_3_1_50%,NP_SM_3_2_50%,NP_FM_3_1_50%
696388.0526,295921.0453,24696.6335,1977475.618,3246800.471,431214.1404,96599.04309,240038.5718,3701529.161,1041108.819,26670.31313,1034.476099,197076.1888,11150.15151,1329.864273,486354.3384,375881.0512,41527.0035
195176.5686,171099.3208,3902286.2,307690.1998,316449.9712,1787697.033,2092304.469,512050.0434,732106.4147,1347647.946,647642.7986,18545.66528,102706.6852,1225895.88,207066.7963,105680.4832,38771.39281,1832759.3
123266.9038,89754.75614,2436626.32,174097.4945,176635.8943,1213855.149,1321899.021,327466.5534,495638.7054,866466.7606,366182.7942,6953.407528,56229.2118,757302.3367,119050.9808,64001.26372,16585.19371,1258991.43
6692.041162,1142.296251,58044.41158,1947.170579,685.5315154,27707.33054,29200.92987,4592.221058,2640.118243,6298.44909,3067.850923,4275.651717,25.07852896,8587.270744,4091.172139,2663.984433,1825.618608,38362.58437
702671.7351,86219.69514,80735.00645,644092.298,819684.6398,1043566.968,117098.2764,669552.3722,2460672.943,1683974.748,46549.50223,21223.54847,35063.17859,25236.86899,53219.48823,86280.11337,20101.08915,40806.74416
76843.29924,12567.78302,6426.308879,75266.02652,98166.2747,171619.8884,9981.11162,109255.1864,449248.8191,254760.7798,1142.49492,702.8515857,867.1070936,NA,367.2600877,5531.703796,190.1332008,518.5931467
1057260.407,148823.2058,127328.6335,893690.3867,4014702.425,807875.5516,144585.1841,322018.6614,2166256.601,733084.9149,90096.85408,52441.81069,199087.7394,46464.50716,8547.958284,245900.188,74578.34077,92547.1405
192110.3619,6950.238643,9261.809354,158659.446,783291.801,179089.9385,19182.76708,58507.27718,473544.516,160085.4299,1919.879398,355.538719,21080.35781,833.4838017,2068.009924,38241.69113,1756.098071,2188.988384
54010.25035,61557.18997,994385.2787,239189.5999,273986.3296,811025.8448,1165523.336,345099.0843,1538577.603,1223868.408,469430.1998,124847.5296,580753.9347,135883.4817,163437.6822,414572.8144,179505.4271,3248300.578
NA,NA,19694.13355,789.4097706,NA,15266.07733,29130.50111,2122.342821,55565.41814,38086.41514,1857.102505,2343.698081,5800.129443,0.143417259,247.6190719,5544.452878,NA,122387.2934
129165.5868,37829.01944,141441.2626,470341.077,842562.6201,1131463.739,176278.3299,616096.2088,1979518.911,2159561.766,11684.61661,55545.15454,4234.834347,8542.670634,53706.49303,12899.42591,33849.30251,37964.76521
19500.37501,24469.94365,3903.351672,31145.77856,85636.46088,138586.5992,22073.65963,64597.00574,315870.6821,291610.2562,1606.365029,6899.270397,344.6294411,9188.850249,6979.643142,1924.263571,740.9941718,1485.208095
535099.5634,56024.10137,156556.8137,644496.577,1005396.395,1406083.326,181816.4301,836775.0382,2480125.745,1972585.589,2150.250571,1628.930423,1328.265407,998.2179498,1523.787917,2594.149071,908.447053,1740.953457
633059.6439,30595.3231,182468.9636,803198.7145,1198387.114,1933620.982,157655.6658,1031922.917,3274749.146,2596565.691,7955.105306,12737.80793,5733.291025,8284.086874,3624.761303,4359.878615,10465.7508,13231.32231
385995.2693,136443.4787,29022.39646,1386976.331,1363262.432,437629.0395,87756.1918,560294.1717,1235609.323,1142091.37,10167.13802,887.3512081,50444.9792,9109.098225,2652.840968,148167.2629,4723.767674,5272.023727
310057.3052,94124.8218,9155.095662,1101965.449,1123677.8,387626.0979,52309.2027,485838.6219,1122950.897,1041452.257,140.5759808,888.5007608,23446.95674,4656.734159,2431.689945,89411.30306,3248.769215,399.5456134
104710.5574,82185.03417,1418698.455,156676.7757,166839.5688,637479.0917,993195.0373,262722.8004,371233.0074,636935.4602,53228.24573,3239.735902,19472.22958,115945.0185,12084.75359,17149.77323,948.6115261,212463.6335
42306.71949,27047.1354,83006.5927,164178.3466,561489.9643,949110.9042,106384.884,523236.5394,744123.6563,1571916.257,12282.7122,3418.881657,870.7304493,3285.240829,6960.416748,1069.985159,10335.47535,14731.75405
131588.4431,29375.17815,230631.7937,265537.9772,314817.0276,604089.5822,128800.8181,313310.7934,328099.8629,349080.3169,10.26144166,529.1946223,3131.657565,3646.633335,1454.55884,676.42387,1535.999986,31939.64618
81453.03216,13612.76219,108539.5617,144540.1559,136394.3581,377049.1319,74212.01047,180635.0547,188903.9384,203382.0299,31660.32216,3113.22548,4305.926071,25745.90118,1227.44253,31963.18962,35165.66559,15587.24518
27758.87947,51181.98694,19134.78068,906097.0338,712229.9922,426087.7958,65340.13614,349293.5678,969353.5554,773507.736,6924.654445,7698.73727,52151.71427,64996.5847,14213.47044,191382.2858,106466.5725,32628.36283
168751.8163,45906.44228,117453.7444,276764.95,425607.7133,482289.6557,53647.92494,250697.5705,985613.1243,651566.0906,52080.75319,519.6623029,4239.676451,18042.83597,4633.366786,14875.55635,15826.80998,6793.046686
74765.33725,4154.281334,20819.89694,119559.3902,158556.9758,224118.0701,19896.63905,100843.0796,476844.1766,283241.4234,673.1494633,236.2938539,7448.614456,21522.75634,8145.458741,14416.94385,2196.426353,8856.905236
132742.3287,51218.9342,430594.7399,241397.7885,331040.2621,704253.9015,567264.4645,281181.2349,2155650.711,704560.8716,2036.874792,5958.584994,14007.77036,54158.921,5727.735397,25161.27873,13504.07524,141826.7996
